ARTICOLO,DES_ART,DES_ART2,UMIS,IVA,CLASSE_EQ,SOTTOCLASSE,GRUPPO_MERC,CLASSE_PROV,CLASSE_SCONTO,MODELLO_ART,GRUPPO_ART1,GRUPPO_ART2,GRUPPO_ART3,GRUPPO_ART4,GRUPPO_ART5,GRUPPO_ART6,GRUPPO_ART7,GRUPPO_ART8,GRUPPO_ART9,GRUPPO_ART10,GRUPPO_ART11,GRUPPO_ART12,ARTICOLO_CLI,FORNITORI_1,FORNITORI_2,FORNITORI_3,ART_FORNITORI_1,ART_FORNITORI_2,ART_FORNITORI_3,PREZZI_FOR_1,PREZZI_FOR_2,PREZZI_FOR_3,VALUTE_FOR_1,VALUTE_FOR_2,VALUTE_FOR_3,PREZZI_FOR_VAL_1,PREZZI_FOR_VAL_2,PREZZI_FOR_VAL_3,DATA_PREZZI_FOR_1,DATA_PREZZI_FOR_2,DATA_PREZZI_FOR_3,ULTIMO_COSTO,ULTIMO_ACQ,ULTIMO_PREZZO,ULTIMA_VEND,UMIS_VEND,CONV_UM,UMIS_ACQ,CONV_UM_ACQ,COLLOCAZIONE,PEZZI_CONF,PEZZI_SUBC,DIMS_1,DIMS_2,DIMS_3,DIMS_EXTRA_1,DIMS_EXTRA_2,DIMS_EXTRA_3,PESO,PESO_LORDO_ART,TARA_ART,CAPACITA_ART,SCORTA_MINIMA,SCORTA_LIMITE,TEMPO_RIORDINO,LOTTO_RIORDINO,TIPO_LOTTO_RIORD,INTERVALLO_RIORD,G_MESE_RIORD,G_WEEK_RIORD,PIANIFICATORE,MATERIALE_ART,CODICE_VINO,TIPO_ACCISA,COSTO_PRODUZIONE,QT_LOGISTICA,GIORNI_VAL,MESI_SCAD_REV_IMP,MESI_SCAD_COLL_IMP,DES_CONFEZIONE_STD,NUM_CONF_BANCALE,ALTEZZA_CONF_STD,NUM_CONF_STRATO,MAG_LOGISTICA_STD,FILA_STD,PIANO_STD,BOX_STD,TIPO_IMBALLO_STD,ANNO_LIFO,NAZIONE_PROD,BAR_CODE_EAN13,MOV_MAG,ORDINABILE,PRODUCIBILE,CONSEGNABILE_CLI,ARTICOLO_AP,PRODOTTO_IE,ART_FANTASMA,ART_OPZIONE,SCONTABILE,APPL_PROV,CONTROLLO_QUAL,CONTROLLO_LOTTO,SER_NUM_LOTTI_ON,RICALCOLO_LOTTO,RICALCOLO_SCORTA,RICALCOLO_T_RIORD,INTRASTAT_ON,MAG_LOGISTICA_ON,MRP_IGNORA_MAG,ART_CONSUMO_DB,ART_NO_PREL_RPRO,ARTICOLO_KIT,ART_PEZZE,ART_COLORATO,DATA_INS,OP_AN_ART,ROWID
1 *,,,PZ,22,,,,,,,,,,,,,,,,,,FISI,,,,,,,,0,0,0,,,,0,0,0,,,,2400,20150528,150,20150529,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20010129,M,AAiSBdAAFAAAXOmAAN
1 15F00267,BICCHIERE ISOLANTE INTERNO,,N,22,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,0.31,20160131,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160128,,AAiSBdAAFAAAXS6AAJ
1 15F00269,BICCHIERE ISOLANTE ESTERNO,,N,22,,,1 28,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,0.31,20160112,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160128,,AAiSBdAAFAAAXS6AAB
1 15F00295,CALOTTE MOTORE ANT.+POST.,M471A+M471B TRANCIO,N,22,,,1 00,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,575,20160430,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160316,,AAiSBdAAFAAAXSJAAE
1 16F00001,UTENSILI OFFICINA 2016,,N,22,,,1 DA,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,52.59,20170630,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160215,M,AAiSBdAAFAAAXTeAAC
1 16F00002,MATERIALI DI CONSUMO OFFICINA,2016,N,22,,,1 D4,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,47.2,20170228,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160225,,AAiSBdAAFAAAXSeAAA
1 16F00007,MANUTENZIONE ORDINARIA,REP. OFFICINA 2016,N,22,,,1 D9,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,1039,20161031,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160128,,AAiSBdAAFAAAXS6AAC
1 16F00008,MANUTENZIONE ORDINARIA,REP. ALLUMINIO 2016,N,22,,,1 B9,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,600,20170131,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160215,,AAiSBdAAFAAAXTVAAP
1 16F00009,MANUTENZIONE ORDINARIA,REP. PLASTICA 2016,N,22,,,1 C9,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,9.45,20161231,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160215,,AAiSBdAAFAAAXTVAAO
1 16F00011,MANUTENZIONE ORDINARIA,UFFICIO TECNICO 2015,N,22,,,1 eg,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,600,20160531,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160601,,AAiSBdAAFAAAXTkAAE
1 16F00012,BLOCCHETTO VW GUIDA SX LATO PA,SSEGGERO,N,22,,,1 00,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,1000,20160531,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160316,,AAiSBdAAFAAAXTDAAA
1 16F00013,BLOCCHETTO VW GUIDA SX LATO GU,IDA,N,22,,,1 00,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,400,20161031,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160204,,AAiSBdAAFAAAXO7AAV
1 16F000136,ZM BAIONETTA REV01,,N,22,,,1 28,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,7570,20160731,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160616,,AAiSBdAAFAAAXSSAAF
1 16F00014,BLOCCHETTO VW GUIDA SX LATO GU,IDA + GUIDA DX LATO GUIDA,N,22,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,1600,20160930,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160704,,AAiSBdAAFAAAXTtAAT
1 16F00015,BLOCCHETTO VW GUIDA SX LATO PA,SSEGGERO + GUIDA DX LATO PASS.,N,22,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,1600,20160930,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160704,,AAiSBdAAFAAAXTtAAS
1 16F00016,BLOCCHETTO SHARAN VW428 LHD,,N,22,,,1 32,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,2.5,20160331,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160302,,AAiSBdAAFAAAXTiAAQ
1 16F00025,MATERIALI DI CONSUMO STAMPI,PLASTICA 2016,N,22,,,1 C4,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,5.398,20160630,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,,,AAiSBdAAFAAAXTtAAO
1 16F00028,MATERIALI DI CONSUMO,QUATTROGRADI 2016,N,22,,,1 33,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,468.84,20170131,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,,,AAiSBdAAFAAAXTlAAL
1 16F00029,ELETROEROSIONE PER UM MITAQ,,N,22,,,1 D9,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,180.75,20170206,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20170221,,AAiSBdAAFAAAXTMAAM
1 16F00032,BLOCCHETTO VW GUIDA SX LATO PA,SSEGGERO + GUIDA DX LATO PASS.,N,22,,,1 32,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,341,20161031,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160129,,AAiSBdAAFAAAXTBAAN
1 16F00033,CAFFE HORECA - CRUSCOTTO 3GR,,N,22,,,1 27,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,0.588,20160229,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,0,0,0,,,,,,,,,S,S,S,S,A,,N,N,S,S,N,N,N,S,S,S,S,S,N,N,N,N,N,N,20160202,,AAiSBdAAFAAAXTsAAM
