DEPOSITO,DES_DEPOSITO,CONTO
70,MAION,1 26023332
71,STAMPIMAR,1 26021380
72,STOCCO & TOGNON,1 26021154
73,DINAMIKA SRL,1 26024455
75,A1 SRL,
76,GALVANICA PARMENSE,1 26022769
77,DUE ERRE di Ruzza Renzo,1 26023281
78,PRESSOFUSIONE MOZZATO,1 26023450
79,CROMOGALANTE SRL,1 26021991
80,VACUUMTECH,1 26023850
81,CLETO,1 26023722
82,2C Costruzioni Meccaniche,1 26023294
83,MARCHELUZZO,1 26023285
84,GSM,1 26023322
85,FORESI  SPA,1 26023122
86,DALLAVIA,1 26024636
87,RPM SNC,1 26023747
88,SIRIO GALV,1 26022959
89,TEKNO MEC,1 26023119
90,MARTINI BRUNO,1 26024277
91,ZETA DUE SRL,1 26021993
93,VIBROVENETA,1 26021938
zz,dep.mat.scarto o per NCC,
OF,deposito terzisti c/lav stampi,
SE,SEA-LAND,
IB,IDROMECCANICA BERTOLINI,
02,RDS stampi di terzi,
94,STC,1 26023700
95,MIMO,1 26024205
96,MECCANICA FIORANZATO,1 26023733
97,GALVANICA C.M.B.,1 26023751
98,VENETA ASSEMBLAGGI,1 26023946
99,FMN Martinelli Spa,1 26023798
10,PRESSOFUSIONE BUSTREO,1 26024028
FR,-FRASCIO SpA,
3,AGA SNC,
03,FEBO STAMPI SNC,1 26023104
04,MINOZZI,1 26024165
5,WELDINGS TECH,1 26024313
JT,JTC  SRL,
4,BUSTREO PRESSOFUSIONE,1 26024028
BO,BONFIGLIOLI RIDUTTORI SPA,
MV,TECOMEC SPA,
MK,MAKRO,
AT,AT-OS,
LX,LUXIA,
SR,SERAI,
AN,ANTONIOLLI KING,
05,VERNICIATURA GIEFFE,1 26024109
BT,TMB BETTO,1 26022640
WI,WAY SRL,
AK,ASKOLL SRL,
ME,MECCANICA ITALIANA,
MF,MAF 3 SRL,
MA,MANTOAN TRASPORTI SRL,
AL,ALU spa,
06,PRORA SRL,1 26024510
SO,SOLERA-THERMOFORM,1 26024354
IS,ITALSCALE,1 26024585
MO,MOULDTEK SRL,1 26024145
EM,Euro Metal Srl,1 26022546
ZS,DEP.MATERIALE DA RILAVORARE,
SA,SA.TE.C.,1 26024427
GW,GLOBAL WORK ENGINEERING SRL,1 26024672
FI,FINMETAL LUX,1 26024675
ST,STAFER SPA,
SP,SPIRIT OF ST.LOUIS SRL,
2A,2A SPA,
CO,F.LLI COMUNELLO,
RO,ROUNDS EURO GROUP SRL,1 26023726
IT,ITALSCALE Dep. Cliente,
DE,DEDAMA Sas,1 26024605
PE,PEMA D.O.O. CROAZIA,1 26024676
CM,CMB CROM SRL,1 26024693
MG,3MG S.R.L.,1 26024074
GP,GOLD PLAST,
09,PEMA SRL,1 26024587
WW,4G - Materiale STOCK F.G.,
FA,F.A. GIORI DI GIORI FRANCESCO,1 26024651
74,PIEMMEGI S.R.L.,1 26024684
FB,FAB SAS DI BEDIN L. & C.,1 26024726
ET,ECOTERM SNC,
FV,FAVARON DUE s.r.l.,1 26024793
VR,VR PLAST,1 26024806
ML,METALPRES SRL,
OX,NEW OXIDAL SRL,1 26024836
TL,TTL S.R.L.,1 26024790
TT,TT srl Trattamenti Termici,1 26024880
RT,Magazzino ROTTAME,
RI,RIFIMPRESS SRL,1 26024847
TA,TAU SRL,
BB,BIBETECH SPA,
VE,VESMA TECHNOLOGY SPA,1 26024795
TE,TECMA,
CH,CHEMA di D'Elia Massimiliano,1 26024877
AC,ALTI COLOR SRL,1 26024809
VI,VIMAR EX ELVOX,
PR,PRONIK SRL,1 26024878
ZD,ZDS SRL,
TM,TMB x mat.prima AL del cliente,
NW,NEW WELDINGS SRL,1 26024647
MR,MARCHESINI SRL,1 26024657
GR,SC GOLD PLAST ROMANIA,
SM,SERMEN DRINKING SRL,
MZ,MAZZER Luigi S.r.L.,
07,TAMPOGRAFIA ESTENSE,1 26024523
EC,ECOFLAM S.P.A.,
TH,THERMOPLAST,1 26024206
01,RDS,
92,PROMOGRAPH sas,1 26024813
ZZ,DEPOSITO PROVA,
12,V.I.V. SRL,1 26024384
32,NUOVA BAR & BER   SAS,1 26023645
11,STAMPO PRESS SRL,1 26024403
13,ITALVERNICIATURA SRL,1 26023924
14,COPLAST SRL,1 26024419
15,TAMPOGRAFIA VENETA SNC,1 26023754
16,ERREDUE SNC,1 26024449
17,COSTOLA DANIELA,1 26021259
18,ZENIT,1 26022227
19,S.A.V. ITALIA SRL,1 26023750
20,TECNOPRESS,1 26021600
21,INOX STAR,1 26024184
22,METALTECNO TORNITURA,1 26021868
23,TRE ESSE SNC,1 26024316
24,DA LIO,1 26023342
25,RENOSSI  LORIS,1 26024133
26,T.F.M. SNC,1 26022082
27,PANDOLFO ALLUMINIO,1 26021271
28,RIZZATO EMILIO,1 26021985
29,MICROMAX,1 26023242
30,POLPLASTIC SPA,1 26024416
31,METALTECNO SRL,1 26024481
33,Z.D. VERNICIATURA,1 26024332
34,SIMET srl * Impregnaz.metalli,1 26024411
35,M.T. sas di Toniolo Fabio & C.,1 26023374
36,BATTLER SRL,1 26024372
37,GALVANICA PADOVANA SRL,1 26020733
38,FEIP,1 26023254
39,ROSSETTO BRUNO,1 26023306
40,MUNEGATO FABIO E STEFANO,1 26022509
41,VIOLA,1 26023831
42,TCS,1 26023852
43,GIMMAC,1 26023928
44,M.B. MECCANICA,1 26023176
45,CENTRO PULITURA METALLI,1 26023187
46,VIBROTECH SRL,1 26023801
48,GALVANOPLASTICA,1 26021194
49,METAL FINISH SRL,1 26024471
50,DAL POZZO GIANPAOLO,1 26023723
47,PROTIM,1 26023579
51,MASCHIETTO SRL,1 26024426
52,2B SRL,1 26023835
53,ZAMET,1 26022120
54,NEWPLAST,
55,TOBALDINI SPA,1 26023859
56,UNIC SRL,1 26023593
57,M.A.T. SNC,1 26021586
58,COLETTO,1 26022644
59,VACUUM SURTEC,1 26023109
60,VISA SNC,1 26024108
61,PRESSOFUSIONE DUE ESSE,1 26023453
62,LINEA SERIGRAFICA TIC/TAC SAS,1 26024015
63,TOFFANIN    049/9115465,1 26022663
64,G.R.L.,1 26022985
65,EFFE TRE SR,1 26023775
66,BIANCHIN & POLI,1 26021332
67,CAME,
68,SLOGAN PRINTERS,1 26023656
69,M.D.Z.,1 26022615
xx,dest.tutti mov.bolle vend.cari,
