"CODICE RDS";"DESCRIZIONE";;"N.ORDINE RDS";"ANNO ";"RIGA ORDINE";"CODICE CLIENTE ";"CLIENTE";"UM";"Q.TA'ORDINATA";"Q.TA RESIDUA";"DATA CONSEGNA";"VALORE";"DEPOSITO";"CODICE CLIENTE";"N.ORD.CLIENTE";"CONSEGNA RICHIESTA";
"*";"EASY FUME'";" ";"X0000013";2012;2;9010764;"ITALPROJET S.C. Kedzierski";"PZ";4;4;09/10/2012;0;1;" ";" ";" ";" "
"*";"MODIFICA MODELLO 3D";"RIF.OF/2017F/214";"T0000044";2018;1;9010856;"KARL-HEINZ HAUSSLER GMBH";"PZ";1;1;30/04/2018;2100;1;" ";"mail 16.4";" ";" "
"*";"SUMMERTIME SMALL FUME'";" ";"P0000713";2012;1;8004863;"3B srl";"PZ";32;32;06/12/2012;64;1;" ";30112012;" ";" "
1810003;"CERNIERE CRN/33039 diritte NIK";"MATT imballo neutro";"C0000012";2018;1;9010067;"HAEFELE GmbH. &. Co.";"PZ";1000;1000;06/07/2018;3452;1;36185609;"L-22237171";" ";" "
1810003;"CERNIERE CRN/33039 diritte NIK";"MATT imballo neutro";"C0000014";2018;1;9010067;"HAEFELE GmbH. &. Co.";"PZ";1000;1000;07/09/2018;3452;1;36185609;"L-22273882";" ";" "
1810003;"CERNIERE CRN/33039 diritte NIK";"MATT imballo neutro";"C0000013";2018;1;9010067;"HAEFELE GmbH. &. Co.";"PZ";1000;1000;10/09/2018;3452;1;36185609;"L-22265919";31/08/2018;" "
1810003;"CERNIERE CRN/33039 diritte NIK";"MATT imballo neutro";"C0000015";2018;1;9010067;"HAEFELE GmbH. &. Co.";"PZ";1000;1000;21/09/2018;3452;1;36185609;"L-22290935";" ";" "
7901016;"PALLET EPAL MM 800X1200X147 H";"TRATTATO HT";"K0000025";2018;2;8005023;"GOLD PLAST SPA";"PZ";7;7;08/06/2018;87.5;1;72;14456;" ";" "
"A200170";"CORPO VALVOLA SPARO";"<686>";"A0000002";2018;3;8004126;"WAM Industriale spa";"PZ";10000;10000;14/06/2018;13000;1;378002159;445764;" ";" "
"A200170";"CORPO VALVOLA SPARO";"<686>";"A0000279";2018;1;8004126;"WAM Industriale spa";"PZ";10000;10000;24/07/2018;13100;1;378002159;448912;" ";" "
"A200170";"CORPO VALVOLA SPARO";"<686>";"A0000476";2018;2;8004126;"WAM Industriale spa";"PZ";10000;10000;13/09/2018;13100;1;378002159;450732;" ";" "
"A200410";"BASE FOTOCELLULA IP 66";"<700>";"A0000229";2018;4;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";6000;6000;08/06/2018;7266;1;"ZST0301A";"A80609";03/06/2018;" "
"A200410";"BASE FOTOCELLULA IP 66";"<700>";"A0000229";2018;6;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";6000;6000;09/07/2018;7266;1;"ZST0301A";"A80609";03/07/2018;" "
"A200410";"BASE FOTOCELLULA IP 66";"<700>";"A0000402";2018;5;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";5000;5000;07/09/2018;6055;1;"ZST0301A";"A81003";03/09/2018;" "
"A200410";"BASE FOTOCELLULA IP 66";"<700>";"A0000402";2018;10;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";5000;5000;08/10/2018;6055;1;"ZST0301A";"A81003";03/10/2018;" "
"A200410";"BASE FOTOCELLULA IP 66";"<700>";"A0000402";2018;12;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";5000;5000;08/11/2018;6055;1;"ZST0301A";"A81003";03/11/2018;" "
"A200420";"COPERCHIO FOTOCELLULA IP 66";"<700>";"A0000229";2018;2;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";7000;1310;09/05/2018;1687.28;1;"ZST0301B";"A80609";03/05/2018;" "
"A200420";"COPERCHIO FOTOCELLULA IP 66";"<700>";"A0000229";2018;3;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";6000;6000;08/06/2018;7728;1;"ZST0301B";"A80609";03/06/2018;" "
"A200420";"COPERCHIO FOTOCELLULA IP 66";"<700>";"A0000229";2018;5;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";6000;6000;09/07/2018;7728;1;"ZST0301B";"A80609";03/07/2018;" "
"A200420";"COPERCHIO FOTOCELLULA IP 66";"<700>";"A0000402";2018;6;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";5000;5000;07/09/2018;6440;1;"ZST0301B";"A81003";03/09/2018;" "
"A200420";"COPERCHIO FOTOCELLULA IP 66";"<700>";"A0000402";2018;11;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";5000;5000;08/10/2018;6440;1;"ZST0301B";"A81003";03/10/2018;" "
"A200420";"COPERCHIO FOTOCELLULA IP 66";"<700>";"A0000402";2018;13;8004305;"CARDIN ELETTRONICA S.P.A.";"PZ";5000;5000;08/11/2018;6440;1;"ZST0301B";"A81003";03/11/2018;" "
"A200491";"FLANGIA ANTERIORE rullata <706";"> 901630";"A0000892";2017;2;8004704;"IME Industria Motori Elettrici";"PZ";3000;119;12/01/2018;110.67;1;901685;107251;" ";" "
"A200711";"SUPPORTO SPALLA ALL. SX";"RAL9006 OP. 819061 V9006<717>";"A0000326";2018;1;8004628;"CIT S.R.L";"PZ";1000;1000;12/06/2018;2212;1;"819061 V9006";683;04/06/2018;" "
"A200721";"SUPPORTO SPALLA ALLUM. DX";"RAL 9006 OP. 819061 V9006<717>";"A0000326";2018;2;8004628;"CIT S.R.L";"PZ";1000;1000;12/06/2018;2212;1;"819061 V9006";683;04/06/2018;" "
"A200730";"PIASTRA CONTENIMENTO SBLOCCO C";"UBIC 2709 <718>";"A0000363";2018;1;8005061;"FAST SRL";"PZ";1000;1000;14/06/2018;2220;1;22709;619;08/06/2018;" "
"A200730";"PIASTRA CONTENIMENTO SBLOCCO C";"UBIC 2709 <718>";"A0000363";2018;6;8005061;"FAST SRL";"PZ";1000;1000;06/07/2018;2220;1;22709;619;" ";" "
"A200760";"PIASTRINA RIARMO SBLOCCO CUBIC";"_6 2826 <720>";"A0000363";2018;2;8005061;"FAST SRL";"PZ";1000;1000;14/06/2018;345;1;22826;619;08/06/2018;" "
"A200760";"PIASTRINA RIARMO SBLOCCO CUBIC";"_6 2826 <720>";"A0000363";2018;7;8005061;"FAST SRL";"PZ";1000;1000;06/07/2018;345;1;22826;619;" ";" "
"A200770";"BASE SBLOCCO A CHIAVE CUBIC 6";"2827 <720>";"A0000363";2018;3;8005061;"FAST SRL";"PZ";1000;1000;14/06/2018;1440;1;22827;619;08/06/2018;" "
"A200770";"BASE SBLOCCO A CHIAVE CUBIC 6";"2827 <720>";"A0000363";2018;8;8005061;"FAST SRL";"PZ";1000;1000;06/07/2018;1440;1;22827;619;" ";" "
"A200780";"COPERCHIO SBLOCCO A CHIAVE CUB";"IC 6 2828 <720>";"A0000363";2018;4;8005061;"FAST SRL";"PZ";1000;1000;14/06/2018;1420;1;22828;619;08/06/2018;" "
"A200780";"COPERCHIO SBLOCCO A CHIAVE CUB";"IC 6 2828 <720>";"A0000363";2018;9;8005061;"FAST SRL";"PZ";1000;1000;06/07/2018;1420;1;22828;619;" ";" "
"A200790";"PIATTO PORTA MOLLA SBLOCCO CUB";"IC 6 2833 <720>";"A0000363";2018;5;8005061;"FAST SRL";"PZ";1000;1000;14/06/2018;556;1;22833;619;08/06/2018;" "
