PADRE,ID_STRUTTURA,PADRE_ID_STR,COMPONENTE,SEQ_COMPONENTE,QUANTITA,SCARTO_MAT,SCARTO_QT,ID_STRUTTURA_COMP,ID_CICLO_COMP,POS_DISEGNO,INIZIO_VAL,FINE_VAL,NOTE1_COMP,NOTE2_COMP,DATA_REV,NUM_FASE_PREL,LEAD_TIME_COMP,COMP_DESCRITTIVO,COMP_TERZI,DEP_PRELIEVO_TERZI,PERC_RIP_PREZZO,STR_TIME_MOD,STR_USER_MOD
1 A622270,,1 A622270,1 7900053,,0.00066,0,0,,,,,,,,,,0,N,N,,0,20091214 160038 453,sa
1 A622270,,1 A622270,1 9150011,,15,5,0,,,,,,,,,,0,N,N,,0,20091214 160038 453,sa
1 A622310,,1 A622310,1 7715100,,1,0,0,,,,,,,,,,0,N,N,,0,20091214 160038 515,sa
1 A622310,,1 A622310,1 7900046,,0.002,0,0,,,,,,,,,,0,N,N,,0,20091214 160038 515,sa
1 A622110,,1 A622110,1 7900046,,0.001,0,0,,,,,,,,,,0,N,N,,0,20091214 160038  62,sa
1 A622110,,1 A622110,1 9150010,,4,5,0,,,,,,,,,,0,N,N,,0,20091214 160038  78,sa
1 A531004,,1 A531004,1 E531005,,1,0,0,,,,,,,,19950608,,0,N,N,,0,,
1 A531004,,1 A531004,1 E531006,,1,0,0,,,,,,,,19950608,,0,N,N,,0,,
1 A531004,,1 A531004,1 E531004,,1,0,0,,,,,,,,19940520,,0,N,N,,0,,
1 A512309,,1 A512309,1 7900046,,0.01,0,0,,,,,,,,20000609,,0,N,N,,0,,
1 A512309,,1 A512309,1 E512305,,1,0,0,,,,,,,,20000609,,0,N,N,,0,,
1 A512309,,1 A512309,1 E512306,,1,0,0,,,,,,,,20000609,,0,N,N,,0,,
1 A605970,,1 A605970,1 7900055,,0.0025,0,0,,,,,,,,,,0,N,N,,0,20091214 160031 671,sa
1 A605970,,1 A605970,1 9145148,,0.38,5,0,,,,,,,,,,0,N,N,,0,20091214 160031 671,sa
1 A605970,,1 A605970,1 9160003,,18.62,5,0,,,,,,,,,,0,N,N,,0,20091214 160031 671,sa
1 A205301,,1 A205301,1 E205301,,1,0,0,,,,,,,,,0055,0,N,N,,0,20140827 200932  45,enricotec
1 A205401,,1 A205401,1 E205401,,1,0,0,,,,,,,,,0055,0,N,N,,0,20140827 200932  67,enricotec
1 A205402,,1 A205402,1 E205402,,1,0,0,,,,,,,,,0055,0,N,N,,0,20140827 200932  73,enricotec
1 A622310,,1 A622310,1 9105064,,38.71,5,0,,,,,,,,,,0,N,N,,0,20091214 160038 515,sa
1 A622310,,1 A622310,1 9145136,,0.79,5,0,,,,,,,,,,0,N,N,,0,20091214 160038 531,sa
1 8019600,,1 8019600,1 9000001,,64.4,0,0,,,,,,,,19920618,,0,N,N,,0,,
1 A612460,,1 A612460,1 7900053,,0.0016,0,0,,,,,,,,,,0,N,N,,0,20091214 160033 671,sa
1 A612460,,1 A612460,1 9105076,,14.72,5,0,,,,,,,,,,0,N,N,,0,20091214 160033 687,sa
1 A612460,,1 A612460,1 9145136,,0.3,5,0,,,,,,,,,,0,N,N,,0,20091214 160033 687,sa
1 A679030,,1 A679030,1 9135007,,34,5,0,,,,,,,,,,0,N,N,,0,20110413 084745 593,simone
1 E512301,,1 E512301,1 9100044,,73.5,5,0,,,,,,,,,,0,N,N,,0,20091214 160053  78,sa
1 E512301,,1 E512301,1 9145087,,1.5,5,0,,,,,,,,,,0,N,N,,0,20091214 160053  93,sa
