^PRODOTTO^|^DESCRIZIONE^|^COD_CICLO^|^FASE^|^OPERAZIONE^|^CL.MACCHINE^|^CL.OPERATORI LAV.^|^CL.OPERATORI ATTR.^|^ATTREZZATURA^|^T.ATTR.MACCHINA^|^T.ATTR.UOMO^|^T.LAV.MACCHINA^|^T.LAV.UOMO^|^NOTE FASE^|^TERZISTA^|^GG.LAV.EST.^|^DIRECTORY FILE DISEGNO^|^NOME FILE DISEGNO^|^N.OPER.LAV.^|^N.OPER.ATTR.^|^GG.POSTICIPO^|^SCHED.CAP.ILLIM.^|^T.ATTRAVERSAMENTO^|^NUM.IMPRONTE^|^N.RIGA^|^RIGA TESTO FASE^
^E200101^|^STAFFA CERNIERA INFERIORE dis.14.025.A **grezzo  <217>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900021700|3000000|3000000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|3|^ ^|^ ^
^E200101^|^STAFFA CERNIERA INFERIORE dis.14.025.A **grezzo  <217>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900021700|4000000|4000000|20000|7000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|3|^ ^|^ ^
^E200102^|^STAFFA CERNIERA SUPERIORE dis.14.026.A ** grezzo  <217>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900021700|3000000|3000000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|3|^ ^|^ ^
^E200102^|^STAFFA CERNIERA SUPERIORE dis.14.026.A ** grezzo  <217>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900021700|4000000|4000000|20000|7000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|3|^ ^|^ ^
^E200103^|^PERNO CERNIERA INFERIORE dis.14.028.A ** grezzo  <217>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900021700|3000000|3000000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|3|^ ^|^ ^
^E200103^|^PERNO CERNIERA INFERIORE dis.14.028.A ** grezzo  <217>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900021700|4000000|4000000|20000|7000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|3|^ ^|^ ^
^E200110^|^AGGANCIO TELAI SX grezzo <682>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900068200|4500000|4500000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|2|^ ^|^ ^
^E200110^|^AGGANCIO TELAI SX grezzo <682>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900068200|6000000|6000000|29000|10000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|2|^ ^|^ ^
^E200120^|^AGGANCIO TELAI DX grezzo <682>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900068200|4500000|4500000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|2|^ ^|^ ^
^E200120^|^AGGANCIO TELAI DX grezzo <682>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900068200|6000000|6000000|29000|10000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|2|^ ^|^ ^
