^PRODOTTO^|^DESCRIZIONE^|^DESCRIZIONE TECNICA^|^LIV^|^COMPONENTE^|^DesComp^|^DesComp1^|^UM^|^QTIMPIEGATA^|^QTEFFETTIVA^
^A200101^|^STAFFA CERNIERA INFER.GRIGIO^|^dis.14.025.A *** <217>^|1|^E200101^|^STAFFA CERNIERA INFERIORE^|^dis.14.025.A **grezzo  <217>^|^PZ^|1|1
^A200101^|^STAFFA CERNIERA INFER.GRIGIO^|^dis.14.025.A *** <217>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|167|183.7
^A200102^|^STAFFA CERNIERA SUPER.GRIGIO^|^dis.14.026.A *** <217>^|1|^E200102^|^STAFFA CERNIERA SUPERIORE^|^dis.14.026.A ** grezzo  <217>^|^PZ^|1|1
^A200102^|^STAFFA CERNIERA SUPER.GRIGIO^|^dis.14.026.A *** <217>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|117|128.7
^A200103^|^PERNO CERNIERA INFER.GRIGIO^|^dis.14.028.A *** <217>^|1|^E200103^|^PERNO CERNIERA INFERIORE^|^dis.14.028.A ** grezzo  <217>^|^PZ^|1|1
^A200104^|^STAFFA CERNIERA INFER. ROSSA^|^dis.14.025.A *** <217>^|1|^E200101^|^STAFFA CERNIERA INFERIORE^|^dis.14.025.A **grezzo  <217>^|^PZ^|1|1
^A200104^|^STAFFA CERNIERA INFER. ROSSA^|^dis.14.025.A *** <217>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|167|183.7
^A200105^|^STAFFA CERNIERA SUPER. ROSSA^|^dis.14.026.A *** <217>^|1|^E200102^|^STAFFA CERNIERA SUPERIORE^|^dis.14.026.A ** grezzo  <217>^|^PZ^|1|1
^A200105^|^STAFFA CERNIERA SUPER. ROSSA^|^dis.14.026.A *** <217>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|117|128.7
^A200106^|^PERNO CERNIERA INFER. ROSSO^|^dis.14.028.A *** <217>^|1|^E200103^|^PERNO CERNIERA INFERIORE^|^dis.14.028.A ** grezzo  <217>^|^PZ^|1|1
^A200110^|^AGGANCIO TELAI SX^|^<682>^|1|7900046|^CARTONI 400x400x400^||^PZ^|0|0
^A200110^|^AGGANCIO TELAI SX^|^<682>^|1|^E200110^|^AGGANCIO TELAI SX^|^grezzo <682>^|^PZ^|1|1
^A200110^|^AGGANCIO TELAI SX^|^<682>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|50|55
^A200120^|^AGGANCIO TELAI DX^|^<682>^|1|7900046|^CARTONI 400x400x400^||^PZ^|0|0
^A200120^|^AGGANCIO TELAI DX^|^<682>^|1|^E200120^|^AGGANCIO TELAI DX^|^grezzo <682>^|^PZ^|1|1
^A200120^|^AGGANCIO TELAI DX^|^<682>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|50|55
^A200130^|^SLITTINO DESTRO^|^<683>^|1|7900046|^CARTONI 400x400x400^||^PZ^|0|0
^A200130^|^SLITTINO DESTRO^|^<683>^|1|^E200130^|^SLITTINO DESTRO^|^grezzo <683>^|^PZ^|1|1
^A200130^|^SLITTINO DESTRO^|^<683>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|30|33
^A200140^|^FERMO DI APERTURA^|^<683>^|1|7900046|^CARTONI 400x400x400^||^PZ^|0|0
^A200140^|^FERMO DI APERTURA^|^<683>^|1|^E200140^|^FERMO DI APERTURA^|^grezzo <683>^|^PZ^|1|1
^A200140^|^FERMO DI APERTURA^|^<683>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|10|11
^A200150^|^SLITTINO SINISTRO^|^<683>^|1|7900046|^CARTONI 400x400x400^||^PZ^|0|0
^A200150^|^SLITTINO SINISTRO^|^<683>^|1|^E200150^|^SLITTINO SINISTRO^|^grezzo <683>^|^PZ^|1|1
^A200150^|^SLITTINO SINISTRO^|^<683>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|30|33
^A200160^|^FLANGIA MOTORE 24V^|^<685>^|1|7900053|^CARTONI 590x390x430H^||^PZ^|0.01|0.01
^A200160^|^FLANGIA MOTORE 24V^|^<685>^|1|^E200160^|^FLANGIA MOTORE 24V^|^grezzo <685>^|^PZ^|1|1
^A200160^|^FLANGIA MOTORE 24V^|^<685>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|200|220
^A200170^|^CORPO VALVOLA SPARO^|^<686>^|1|7900048|^CARTONI 400x300x200^||^PZ^|0.01|0.01
^A200170^|^CORPO VALVOLA SPARO^|^<686>^|1|^B200170^|^CORPO VALVOLA SPARO^|^Foresi.<686>^|^PZ^|1|1
^A200170^|^CORPO VALVOLA SPARO^|^<686>^|2|^C200170^|^CORPO VALVOLA SPARO^|^BURATT.<686>^|^PZ^|1|1
^A200170^|^CORPO VALVOLA SPARO^|^<686>^|3|^E200170^|^CORPO VALVOLA SPARO^|^grezzo <686>^|^PZ^|1|1
^A200170^|^CORPO VALVOLA SPARO^|^<686>^|4|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|120|132
^A200180^|^CHAT 130_165 CUBO CENTRALI FOR^|^ATI SU ENTRAMBE LE FACCE <688>^|1|7900055|^CARTONI 400x400x260^||^PZ^|0.01|0.01
^A200180^|^CHAT 130_165 CUBO CENTRALI FOR^|^ATI SU ENTRAMBE LE FACCE <688>^|1|^E200180^|^CHAT 130_165 CUBO^|^grezzo <688>^|^PZ^|1|1
^A200180^|^CHAT 130_165 CUBO CENTRALI FOR^|^ATI SU ENTRAMBE LE FACCE <688>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|430|473
^A200190^|^CHAT 130_165 CUBO DX FORATI SO^|^LO SULLA FACCIA DX <688>^|1|7900055|^CARTONI 400x400x260^||^PZ^|0.01|0.01
^A200190^|^CHAT 130_165 CUBO DX FORATI SO^|^LO SULLA FACCIA DX <688>^|1|^E200180^|^CHAT 130_165 CUBO^|^grezzo <688>^|^PZ^|1|1
^A200190^|^CHAT 130_165 CUBO DX FORATI SO^|^LO SULLA FACCIA DX <688>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|430|473
^A200201^|^STAFFA CERNIERA SPORTELLI^|^dis.14.005.A **  <218>^|1|^E200201^|^STAFFA CERNIERA SPORTELLI^|^dis.14.005.A ** grezzo  <218>^|^PZ^|1|1
^A200202^|^CERNIERA PER SPORTELLI DX^|^dis.14.006.A  **  <218>^|1|^E200202^|^CERNIERA PER SPORTELLI DX^|^dis.14.006.A ** grezzo  <218>^|^PZ^|1|1
^A200203^|^CERNIERA PER SPORTELLI SX^|^dis.14.006.A **   <221>^|1|^E200203^|^CERNIERA PER SPORTELLI SX^|^dis.14.006.A ** grezzo  <221>^|^PZ^|1|1
^A200210^|^CHAT 130_165 CUBO SX FORATI SO^|^LO SULLA FACCIA SX <688>^|1|7900055|^CARTONI 400x400x260^||^PZ^|0.01|0.01
^A200210^|^CHAT 130_165 CUBO SX FORATI SO^|^LO SULLA FACCIA SX <688>^|1|^E200180^|^CHAT 130_165 CUBO^|^grezzo <688>^|^PZ^|1|1
^A200210^|^CHAT 130_165 CUBO SX FORATI SO^|^LO SULLA FACCIA SX <688>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|430|473
^A200220^|^CHAT 130_165 INSERTO LONGARONE^|^_<689>^|1|7900046|^CARTONI 400x400x400^||^PZ^|0.01|0.01
^A200220^|^CHAT 130_165 INSERTO LONGARONE^|^_<689>^|1|^E200220^|^CHAT 130_165 INSERTO LONGARONE^|^_ grezzo <689>^|^PZ^|1|1
^A200220^|^CHAT 130_165 INSERTO LONGARONE^|^_<689>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|115|126.5
^A200230^|^CHAT 130_165 INSERTO GAMBA^|^<689>^|1|7900046|^CARTONI 400x400x400^||^PZ^|0.01|0.01
^A200230^|^CHAT 130_165 INSERTO GAMBA^|^<689>^|1|^E200230^|^CHAT 130_165 INSERTO GAMBA^|^grezzo <689>^|^PZ^|1|1
^A200230^|^CHAT 130_165 INSERTO GAMBA^|^<689>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|155|170.5
^A200240^|^CORPO VALVOLA DA 1' POLLICE^|^<690>^|1|^E200240^|^CORPO VALVOLA DA 1' POLLICE^|^grezzo <690>^|^PZ^|1|1
^A200240^|^CORPO VALVOLA DA 1' POLLICE^|^<690>^|2|7900046|^CARTONI 400x400x400^||^PZ^|0.01|0.01
^A200240^|^CORPO VALVOLA DA 1' POLLICE^|^<690>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|600|642
^A200250^|^CORPO VALVOLA DA 3/4' POLLICE^|^<690>^|1|^E200250^|^CORPO VALVOLA DA 3/4' POLLICE^|^grezzo <690>^|^PZ^|1|1
^A200250^|^CORPO VALVOLA DA 3/4' POLLICE^|^<690>^|2|7900046|^CARTONI 400x400x400^||^PZ^|0.01|0.01
^A200250^|^CORPO VALVOLA DA 3/4' POLLICE^|^<690>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|410|438.7
^A200260^|^CORPO VALVOLA DA 1/2' POLLICE^|^<690>^|1|7900046|^CARTONI 400x400x400^||^PZ^|0.01|0.01
^A200260^|^CORPO VALVOLA DA 1/2' POLLICE^|^<690>^|1|^E200260^|^CORPO VALVOLA DA 1/2' POLLICE^|^grezzo <690>^|^PZ^|1|1
^A200260^|^CORPO VALVOLA DA 1/2' POLLICE^|^<690>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|375|412.5
^A200270^|^BRACCIOLO NUOVO TRAX^|^<691>^|1|^E200270^|^BRACCIOLO NUOVO TRAX^|^grezzo <691>^|^PZ^|1|1
^A200270^|^BRACCIOLO NUOVO TRAX^|^<691>^|2|7900053|^CARTONI 590x390x430H^||^PZ^|0.01|0.01
^A200270^|^BRACCIOLO NUOVO TRAX^|^<691>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|910|1001
^A200280^|^CASSA MOTORIDUTTORE L404^|^<692>^|1|^E200280^|^CASSA MOTORIDUTTORE L404^|^grezzo <692>^|^PZ^|1|1
^A200280^|^CASSA MOTORIDUTTORE L404^|^<692>^|2|7900053|^CARTONI 590x390x430H^||^PZ^|0.01|0.01
^A200280^|^CASSA MOTORIDUTTORE L404^|^<692>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|1370|1507
^A200290^|^LOGICO SUPPORTO 3 x 120  MICRO^|^_A5377 <693>^|1|7900053|^CARTONI 590x390x430H^||^PZ^|0.01|0.01
^A200290^|^LOGICO SUPPORTO 3 x 120  MICRO^|^_A5377 <693>^|1|^E200290^|^LOGICO SUPPORTO 3 x 120  MICRO^|^_A5377 grezzo <693>^|^PZ^|1|1
^A200290^|^LOGICO SUPPORTO 3 x 120  MICRO^|^_A5377 <693>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|150|160.5
^A200310^|^LOGICO SUPPORTO IN LINEA MICRO^|^_A5376 <694>^|1|7900053|^CARTONI 590x390x430H^||^PZ^|0.01|0.01
^A200310^|^LOGICO SUPPORTO IN LINEA MICRO^|^_A5376 <694>^|1|^E200310^|^LOGICO SUPPORTO IN LINEA MICRO^|^_A5376 grezzo <694>^|^PZ^|1|1
^A200310^|^LOGICO SUPPORTO IN LINEA MICRO^|^_A5376 <694>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|150|160.5
^A200320^|^LOGICO SUPPORTO 4 x 90  MICRO^|^A5378 <695>^|1|7900053|^CARTONI 590x390x430H^||^PZ^|0.01|0.01
^A200320^|^LOGICO SUPPORTO 4 x 90  MICRO^|^A5378 <695>^|1|^E200320^|^LOGICO SUPPORTO 4 x 90  MICRO^|^A5378 grezzo <695>^|^PZ^|1|1
^A200320^|^LOGICO SUPPORTO 4 x 90  MICRO^|^A5378 <695>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|150|160.5
^A200330^|^AM5 CRV BASE^|^<696>^|1|7900046|^CARTONI 400x400x400^||^PZ^|0.01|0.01
^A200330^|^AM5 CRV BASE^|^<696>^|1|^E200330^|^AM5 CRV BASE^|^grezzo <696>^|^PZ^|1|1
^A200330^|^AM5 CRV BASE^|^<696>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|60|66
^A200340^|^AM5 HSG COPERCHIO^|^<697>^|1|7900046|^CARTONI 400x400x400^||^PZ^|0.01|0.01
^A200340^|^AM5 HSG COPERCHIO^|^<697>^|1|^E200340^|^AM5 HSG COPERCHIO^|^grezzo <697>^|^PZ^|1|1
^A200340^|^AM5 HSG COPERCHIO^|^<697>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|105|115.5
^A200350^|^SCHIENALE SX^|^<698>^|1|^E200350^|^SCHIENALE SX^|^grezzo <698>^|^PZ^|1|1
^A200350^|^SCHIENALE SX^|^<698>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|810|891
^A200360^|^SEDUTA SX^|^<698>^|1|^E200360^|^SEDUTA SX^|^grezzo <698>^|^PZ^|1|1
^A200360^|^SEDUTA SX^|^<698>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|740|814
