PARTE,ATTREZZATURA,NUM_IMPRONTE
E286440,900104500,1
E287900,900114202,1
E286760,900106700,1
E287830,900113700,1
E286700,900104900,1
E288010,900118500,1
E288000,900118500,1
E284210,900090000,4
E285530,900098702,1
E285170,900097000,1
E286740,900105900,1
E286750,900105900,1
E285200,900097000,1
E286250,900103200,2
E286660,900104400,2
E286640,900104400,1
E237720,90008210,1
E237742,900082204,1
E283500,900083600,2
E284940,900117500,1
E284290,900090700,4
E284211,900108300,4
E288210,900119700,2
E287000,900109800,3
E286990,900109800,3
E236870,900065900,1
E286270,900103400,1
E286650,900104300,1
E286320,900103800,1
E286220,900107200,1
E283710,900085600,1
E286540,900105400,1
E285880,900101100,1
E285830,900100700,1
E285830,90010070,1
E285510,900098700,1
E287450,900112700,4
E236730,900065104,1
E285730,900100500,1
E286510,900105200,1
E286520,900105200,1
E286450,900104700,1
E286460,900104700,4
E237340,900108900,1
E287600,900113200,2
E21200,900022500,1
E286670,900104600,2
E286420,900104200,2
E287470,900112600,4
E287990,900118100,1
E286430,900103900,1
E22500,900042800,4
E287700,900114400,2
E287120,900110700,1
E287130,900110800,1
E283780,900084900,1
E283790,900084900,1
E286690,900105800,1
E287140,900110700,1
E286550,900105400,1
E286560,90010540,1
E286570,90010540,1
E287710,900114400,2
E23200,90005120,1
E232100,900051400,1
E232200,900051500,1
E232300,900051600,2
E232400,900014400,1
E232500,900052500,1
E23250,900052500,2
E232600,900052600,1
E232700,900052700,1
E232800,900052800,1
E232900,900053000,1
E233000,900053100,4
E233100,900053200,1
E23310,900053200,1
E233300,900053300,1
E233400,900053400,1
E23340,900053400,1
E233500,900053500,4
E233600,900053600,2
E233700,900053700,1
E285780,900100200,1
E200240,900069000,1
E200250,900069000,1
E200260,900069000,1
E200270,900069100,2
E200280,900069200,1
E200330,900069600,4
E200340,900069700,1
E200350,900069800,1
E200360,900069800,1
E200370,900069900,1
E200380,900069900,1
E200390,900070100,2
E200410,900070000,1
E200420,900070000,1
E200430,900070200,1
E200440,900070300,1
E200450,900070400,1
E20045,900070403,1
E200460,900070400,1
E233900,900053900,2
E234000,900020800,1
E234100,900054200,4
E234200,900054100,1
E234300,900050800,1
E234400,900052400,1
E23440,900052400,1
E234600,900052900,4
E234700,900073000,1
E23470,900073000,1
E234702,900054002,1
E234703,900054003,1
E234900,900054400,2
E23490,900054400,4
E235000,900054500,1
E235100,900054600,1
E23510,900054600,1
E235300,900046100,4
E235400,900046200,4
E235410,900054900,8
E235420,900055000,8
E235430,900055100,8
E235440,900055200,8
E235450,900055300,8
E20046,900070403,1
E200470,900070600,1
E200480,900070600,1
E200490,900070600,1
E200510,900070700,1
E200550,900070900,1
E200560,900070900,1
E200570,900071000,1
E200580,900071000,1
E200590,900071100,1
E200620,90007100,1
E200630,90007100,1
E200640,90005680,1
E200650,900022202,1
E20065,900022203,1
E200660,900071300,2
E200670,900071400,1
E200680,900071500,1
E200690,900071600,1
E235470,900055500,2
E235480,900055600,1
E235490,900055700,8
E235510,90005580,1
E235520,900055900,1
E235530,900056000,4
E235540,900056100,1
E235550,900056200,1
E23555,90005620,1
E235560,900056300,1
E235570,900056400,1
E235580,900056400,1
E235590,900056600,1
E23559,90005660,1
E235600,900056700,1
E235630,900057000,4
E235640,900057100,4
E200720,900071700,1
E200730,900071800,1
E200740,900071900,1
E200750,900071900,1
E200760,900072000,1
E200770,900072000,1
E200780,900072000,1
E200790,900072000,1
E200810,900072300,1
E20081,90007230,1
E201002,900028500,1
E201003,900028500,1
E201102,900029800,1
E20150,900030200,0
E20160,900009600,2
E201702,900019100,1
E210503,90000060,1
E210602,900020900,1
E21090,900016800,4
E21100,900019500,1
E21110,900025900,8
E20180,900019200,2
E20190,900019300,1
E201902,900019300,1
E201910,900070500,1
E201970,900072100,1
E201980,900072100,1
E20200,900022900,1
E202002,900023000,1
E202010,900072400,1
E202020,900072500,1
E202030,900072200,1
E202060,90007220,1
E20210,900023100,1
E20220,900024800,2
E20230,900027100,1
E20230,900027103,1
E202302,90002710,2
E21120,900019800,4
E211202,900019800,4
E21130,900020500,1
E21170,900015800,4
E211702,900015800,4
E21220,900022700,1
E212202,900022700,2
E212204,90002270,1
E21230,900023200,1
E21240,900023300,1
E20240,900024600,2
E20250,900024900,1
E20270,900030300,1
E20320,900020600,1
E203202,900020600,1
E20330,900020700,1
E20340,900004500,2
E20350,900004600,2
E20360,900006800,2
E203602,900006800,2
E20370,900004700,2
E20380,900008700,1
E20390,900008600,1
E203902,900008600,1
E20400,900011400,2
E20410,900011700,2
E20420,900016900,1
E20430,900017500,2
E204302,900017500,4
E20440,900018100,1
E204402,900018100,1
E204403,900018100,1
E204404,900018100,1
E204405,900018100,1
E204406,900018100,1
E20450,900025200,2
E204502,900025300,1
E204503,900025300,1
E20460,900027200,1
E204602,900027200,1
E204700,900019400,1
E20470,900019400,4
E204702,90001940,6
E20480,900027300,2
E20500,900022300,1
E20520,900026300,1
E20530,900022200,1
E205302,90002220,1
E20540,900026400,2
E205402,900026500,2
E20580,900025400,1
E235690,900057600,1
E235710,900057800,1
E235720,900058000,1
E235730,900058000,1
E235740,900058100,1
E235750,900058200,1
E235760,900058300,4
E235770,900058300,4
E235780,900058400,4
E287200,900111200,2
E287170,900111000,2
E201402,900030100,1
E20140,900030100,1
E21250,900023400,1
E21260,900023500,1
E212602,900023500,4
E212603,900023500,1
E205900,900025500,2
E206000,900057900,1
E20600,900057900,1
E206102,900026700,1
E20630,900026900,1
E206400,900025400,2
E206600,900025600,1
E20660,900025600,1
E206620,900067800,2
E206630,90006780,2
