^ARTICOLO        ^|^DES.ART.^|^DES.ART.2^|^N.ORD.^|^ANNO^|^RG^|^CONTO^|^RAG.SOC.^|^UM^|^Q.TA^|^Q.TA RESIDUA^|^Q.TA PRONTA^|^D.CONS. ^|^IMP.NET.RES.^
^*               ^|^EASY FUME'                    ^|^                              ^|^X0000013^|2012|2|9010764|^ITALPROJET S.C. Kedzierski    ^|^PZ^|4000|4000|0|^09/10/2012^|^               0,00^
^*               ^|^SUMMERTIME SMALL FUME'        ^|^                              ^|^P0000713^|2012|1|8004863|^3B srl                        ^|^PZ^|32000|32000|0|^06/12/2012^|^              64,00^
1810003|^CERNIERE CRN/33039 diritte NIK^|^MATT imballo neutro           ^|^C0000007^|2018|1|9010067|^HAEFELE GmbH. &. Co.          ^|^PZ^|^          1.000,000^|^          1.000,000^|0|^11/05/2018^|^           3.452,00^
1810003|^CERNIERE CRN/33039 diritte NIK^|^MATT imballo neutro           ^|^C0000011^|2018|1|9010067|^HAEFELE GmbH. &. Co.          ^|^PZ^|^          1.000,000^|^          1.000,000^|0|^01/06/2018^|^           3.452,00^
7901016|^PALLET EPAL MM 800X1200X147 H ^|^TRATTATO HT                   ^|^K0000116^|2016|2|8005023|^GOLD PLAST SPA                ^|^PZ^|4000|4000|0|^04/11/2016^|^              50,00^
7901016|^PALLET EPAL MM 800X1200X147 H ^|^TRATTATO HT                   ^|^K0000007^|2018|2|8005023|^GOLD PLAST SPA                ^|^PZ^|7000|7000|0|^27/04/2018^|^              87,50^
7901016|^PALLET EPAL MM 800X1200X147 H ^|^TRATTATO HT                   ^|^K0000008^|2018|2|8005023|^GOLD PLAST SPA                ^|^PZ^|24000|24000|0|^10/05/2018^|^             300,00^
7901016|^PALLET EPAL MM 800X1200X147 H ^|^TRATTATO HT                   ^|^K0000009^|2018|2|8005023|^GOLD PLAST SPA                ^|^PZ^|17000|17000|0|^10/05/2018^|^             212,50^
^A200170         ^|^CORPO VALVOLA SPARO           ^|^<686>                         ^|^A0000002^|2018|2|8004126|^WAM Industriale spa           ^|^PZ^|^         10.000,000^|^          9.833,000^|0|^12/04/2018^|^          12.782,90^
^A200170         ^|^CORPO VALVOLA SPARO           ^|^<686>                         ^|^A0000002^|2018|3|8004126|^WAM Industriale spa           ^|^PZ^|^         10.000,000^|^         10.000,000^|0|^14/06/2018^|^          13.000,00^
